# Browsec VPN IPs - 20231107 - craiu@noh.ro 
# extended list from https://sec.okta.com/articles/2023/10/tracking-unauthorized-access-oktas-support-system
103.75.119.13 | 136258 | 103.75.119.0/24 | AS136258 | CA | BrainStorm Network, Inc
104.248.138.192 | 14061 | 104.248.128.0/20 | AS14061 | US | DigitalOcean, LLC
104.248.243.233 | 14061 | 104.248.240.0/20 | AS14061 | US | DigitalOcean, LLC
107.191.62.125 | 20473 | 107.191.62.0/23 | AS20473 | US | The Constant Company, LLC
108.61.163.224 | 20473 | 108.61.160.0/22 | AS20473 | US | The Constant Company, LLC
108.61.176.148 | 20473 | 108.61.176.0/23 | AS20473 | US | The Constant Company, LLC
108.61.177.38 | 20473 | 108.61.176.0/23 | AS20473 | US | The Constant Company, LLC
108.61.183.244 | 20473 | 108.61.180.0/22 | AS20473 | US | The Constant Company, LLC
108.61.186.60 | 20473 | 108.61.186.0/23 | AS20473 | US | The Constant Company, LLC
108.61.209.135 | 20473 | 108.61.208.0/23 | AS20473 | US | The Constant Company, LLC
129.232.133.48 | 37153 | 129.232.128.0/17 | AS37153 | ZA | Xneelo (Pty) Ltd
129.232.133.55 | 37153 | 129.232.128.0/17 | AS37153 | ZA | Xneelo (Pty) Ltd
129.232.133.59 | 37153 | 129.232.128.0/17 | AS37153 | ZA | Xneelo (Pty) Ltd
129.232.219.198 | 37153 | 129.232.128.0/17 | AS37153 | ZA | Xneelo (Pty) Ltd
134.122.80.234 | 14061 | 134.122.80.0/20 | AS14061 | US | DigitalOcean, LLC
136.244.114.144 | 20473 | 136.244.112.0/20 | AS20473 | US | The Constant Company, LLC
136.244.114.46 | 20473 | 136.244.112.0/20 | AS20473 | US | The Constant Company, LLC
136.244.117.116 | 20473 | 136.244.112.0/20 | AS20473 | US | The Constant Company, LLC
138.68.146.209 | 14061 | 138.68.144.0/20 | AS14061 | US | DigitalOcean, LLC
138.68.150.189 | 14061 | 138.68.144.0/20 | AS14061 | US | DigitalOcean, LLC
138.68.153.108 | 14061 | 138.68.144.0/20 | AS14061 | US | DigitalOcean, LLC
138.68.159.23 | 14061 | 138.68.144.0/20 | AS14061 | US | DigitalOcean, LLC
138.68.164.164 | 14061 | 138.68.160.0/20 | AS14061 | US | DigitalOcean, LLC
138.68.164.253 | 14061 | 138.68.160.0/20 | AS14061 | US | DigitalOcean, LLC
138.68.168.122 | 14061 | 138.68.160.0/20 | AS14061 | US | DigitalOcean, LLC
138.68.168.255 | 14061 | 138.68.160.0/20 | AS14061 | US | DigitalOcean, LLC
138.68.175.87 | 14061 | 138.68.160.0/20 | AS14061 | US | DigitalOcean, LLC
139.180.164.105 | 20473 | 139.180.160.0/20 | AS20473 | US | The Constant Company, LLC
140.82.54.236 | 20473 | 140.82.52.0/22 | AS20473 | US | The Constant Company, LLC
141.164.34.217 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.36.160 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.39.203 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.39.81 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.42.150 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.50.126 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.52.216 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.52.55 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.53.207 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.60.42 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.62.237 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
141.164.62.77 | 20473 | 141.164.32.0/19 | AS20473 | US | The Constant Company, LLC
142.93.111.107 | 14061 | 142.93.96.0/20 | AS14061 | US | DigitalOcean, LLC
142.93.111.67 | 14061 | 142.93.96.0/20 | AS14061 | US | DigitalOcean, LLC
142.93.167.182 | 14061 | 142.93.160.0/20 | AS14061 | US | DigitalOcean, LLC
142.93.96.125 | 14061 | 142.93.96.0/20 | AS14061 | US | DigitalOcean, LLC
149.28.165.153 | 20473 | 149.28.160.0/19 | AS20473 | US | The Constant Company, LLC
149.28.186.159 | 20473 | 149.28.160.0/19 | AS20473 | US | The Constant Company, LLC
151.236.20.147 | 9009 | 151.236.20.0/24 | AS9009 | RO | M247 Europe SRL
151.236.20.166 | 9009 | 151.236.20.0/24 | AS9009 | RO | M247 Europe SRL
151.236.20.184 | 9009 | 151.236.20.0/24 | AS9009 | RO | M247 Europe SRL
151.236.20.55 | 9009 | 151.236.20.0/24 | AS9009 | RO | M247 Europe SRL
151.236.20.61 | 9009 | 151.236.20.0/24 | AS9009 | RO | M247 Europe SRL
151.236.20.65 | 9009 | 151.236.20.0/24 | AS9009 | RO | M247 Europe SRL
151.236.23.95 | 39020 | 151.236.23.0/24 | AS39020 | ES | Comvive Servidores S.L.
152.44.38.29 | 25697 | 152.44.32.0/21 | AS25697 | US | UpCloud USA Inc
157.245.192.116 | 14061 | 157.245.192.0/20 | AS14061 | US | DigitalOcean, LLC
157.245.200.9 | 14061 | 157.245.192.0/20 | AS14061 | US | DigitalOcean, LLC
158.255.208.116 | 9009 | 158.255.208.0/24 | AS9009 | RO | M247 Europe SRL
158.255.208.42 | 9009 | 158.255.208.0/24 | AS9009 | RO | M247 Europe SRL
158.255.208.46 | 9009 | 158.255.208.0/24 | AS9009 | RO | M247 Europe SRL
158.255.208.57 | 9009 | 158.255.208.0/24 | AS9009 | RO | M247 Europe SRL
159.65.52.141 | 14061 | 159.65.48.0/20 | AS14061 | US | DigitalOcean, LLC
159.65.52.156 | 14061 | 159.65.48.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.128.14 | 14061 | 161.35.128.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.130.245 | 14061 | 161.35.128.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.139.58 | 14061 | 161.35.128.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.139.69 | 14061 | 161.35.128.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.139.79 | 14061 | 161.35.128.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.139.87 | 14061 | 161.35.128.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.139.97 | 14061 | 161.35.128.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.141.121 | 14061 | 161.35.128.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.160.86 | 14061 | 161.35.160.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.161.64 | 14061 | 161.35.160.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.32.181 | 14061 | 161.35.32.0/20 | AS14061 | US | DigitalOcean, LLC
161.35.36.123 | 14061 | 161.35.32.0/20 | AS14061 | US | DigitalOcean, LLC
162.210.194.10 | 30633 | 162.210.192.0/21 | AS30633 | US | Leaseweb USA, Inc.
162.210.194.35 | 30633 | 162.210.192.0/21 | AS30633 | US | Leaseweb USA, Inc.
162.210.194.37 | 30633 | 162.210.192.0/21 | AS30633 | US | Leaseweb USA, Inc.
162.210.194.38 | 30633 | 162.210.192.0/21 | AS30633 | US | Leaseweb USA, Inc.
165.22.210.179 | 14061 | 165.22.208.0/20 | AS14061 | US | DigitalOcean, LLC
165.22.217.61 | 14061 | 165.22.208.0/20 | AS14061 | US | DigitalOcean, LLC
165.22.217.66 | 14061 | 165.22.208.0/20 | AS14061 | US | DigitalOcean, LLC
165.22.217.97 | 14061 | 165.22.208.0/20 | AS14061 | US | DigitalOcean, LLC
165.232.100.84 | 14061 | 165.232.96.0/20 | AS14061 | US | DigitalOcean, LLC
165.232.104.23 | 14061 | 165.232.96.0/20 | AS14061 | US | DigitalOcean, LLC
165.232.96.137 | 14061 | 165.232.96.0/20 | AS14061 | US | DigitalOcean, LLC
167.172.96.203 | 14061 | 167.172.96.0/20 | AS14061 | US | DigitalOcean, LLC
167.71.212.96 | 14061 | 167.71.208.0/20 | AS14061 | US | DigitalOcean, LLC
167.71.213.49 | 14061 | 167.71.208.0/20 | AS14061 | US | DigitalOcean, LLC
167.71.217.44 | 14061 | 167.71.208.0/20 | AS14061 | US | DigitalOcean, LLC
167.71.219.202 | 14061 | 167.71.208.0/20 | AS14061 | US | DigitalOcean, LLC
167.71.221.67 | 14061 | 167.71.208.0/20 | AS14061 | US | DigitalOcean, LLC
167.99.196.54 | 14061 | 167.99.192.0/20 | AS14061 | US | DigitalOcean, LLC
167.99.198.118 | 14061 | 167.99.192.0/20 | AS14061 | US | DigitalOcean, LLC
167.99.201.195 | 14061 | 167.99.192.0/20 | AS14061 | US | DigitalOcean, LLC
176.107.133.116 | 205727 | 176.107.128.0/20 | AS205727 | IT | Aruba S.p.A.
178.128.199.131 | 14061 | 178.128.192.0/20 | AS14061 | US | DigitalOcean, LLC
178.128.201.62 | 14061 | 178.128.192.0/20 | AS14061 | US | DigitalOcean, LLC
178.128.203.158 | 14061 | 178.128.192.0/20 | AS14061 | US | DigitalOcean, LLC
178.128.204.26 | 14061 | 178.128.192.0/20 | AS14061 | US | DigitalOcean, LLC
178.128.87.29 | 14061 | 178.128.80.0/20 | AS14061 | US | DigitalOcean, LLC
178.73.210.244 | 42708 | 178.73.192.0/18 | AS42708 | SE | GleSYS AB
185.108.129.105 | 30900 | 185.108.128.0/22 | AS30900 | IE | Sternforth Ltd. trading as WebWorld
185.108.129.106 | 30900 | 185.108.128.0/22 | AS30900 | IE | Sternforth Ltd. trading as WebWorld
185.108.129.107 | 30900 | 185.108.128.0/22 | AS30900 | IE | Sternforth Ltd. trading as WebWorld
185.108.129.111 | 30900 | 185.108.128.0/22 | AS30900 | IE | Sternforth Ltd. trading as WebWorld
185.108.129.132 | 30900 | 185.108.128.0/22 | AS30900 | IE | Sternforth Ltd. trading as WebWorld
185.108.129.51 | 30900 | 185.108.128.0/22 | AS30900 | IE | Sternforth Ltd. trading as WebWorld
185.108.129.52 | 30900 | 185.108.128.0/22 | AS30900 | IE | Sternforth Ltd. trading as WebWorld
185.108.129.53 | 30900 | 185.108.128.0/22 | AS30900 | IE | Sternforth Ltd. trading as WebWorld
185.108.129.54 | 30900 | 185.108.128.0/22 | AS30900 | IE | Sternforth Ltd. trading as WebWorld
185.108.129.89 | 30900 | 185.108.128.0/22 | AS30900 | IE | Sternforth Ltd. trading as WebWorld
185.123.101.110 | 206991 | 185.123.101.0/24 | AS206991 | TR | Iksir Internet Hizmetleri A.S.
185.123.101.118 | 206991 | 185.123.101.0/24 | AS206991 | TR | Iksir Internet Hizmetleri A.S.
185.123.101.145 | 206991 | 185.123.101.0/24 | AS206991 | TR | Iksir Internet Hizmetleri A.S.
185.123.101.19 | 206991 | 185.123.101.0/24 | AS206991 | TR | Iksir Internet Hizmetleri A.S.
185.123.101.37 | 206991 | 185.123.101.0/24 | AS206991 | TR | Iksir Internet Hizmetleri A.S.
185.123.101.6 | 206991 | 185.123.101.0/24 | AS206991 | TR | Iksir Internet Hizmetleri A.S.
185.123.101.65 | 206991 | 185.123.101.0/24 | AS206991 | TR | Iksir Internet Hizmetleri A.S.
185.123.101.67 | 206991 | 185.123.101.0/24 | AS206991 | TR | Iksir Internet Hizmetleri A.S.
185.123.101.96 | 206991 | 185.123.101.0/24 | AS206991 | TR | Iksir Internet Hizmetleri A.S.
185.186.79.148 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.151 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.155 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.179 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.200 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.203 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
